DATE,Sales,Year,Month,profit_margin
10-01-2010,3497,2010,1,524.55
11-01-2010,3524,2010,1,528.6
12-01-2010,4681,2010,1,702.15
01-01-2011,2888,2011,1,433.2
02-01-2011,2984,2011,1,447.6
03-01-2011,3249,2011,1,487.35
04-01-2011,3363,2011,1,504.45
05-01-2011,3471,2011,1,520.65
06-01-2011,3551,2011,1,532.65
07-01-2011,3740,2011,1,561
08-01-2011,3576,2011,1,536.4
09-01-2011,3517,2011,1,527.55
10-01-2011,3515,2011,1,527.25
11-01-2011,3646,2011,1,546.9
12-01-2011,4892,2011,1,733.8
01-01-2012,2995,2012,1,449.25
02-01-2012,3202,2012,1,480.3
03-01-2012,3550,2012,1,532.5
04-01-2012,3409,2012,1,511.35
05-01-2012,3786,2012,1,567.9
06-01-2012,3816,2012,1,572.4
07-01-2012,3733,2012,1,559.95
08-01-2012,3752,2012,1,562.8
09-01-2012,3503,2012,1,525.45
10-01-2012,3626,2012,1,543.9
11-01-2012,3869,2012,1,580.35
12-01-2012,5124,2012,1,768.6
01-01-2013,3143,2013,1,471.45
02-01-2013,3212,2013,1,481.8
03-01-2013,3603,2013,1,540.45
04-01-2013,3464,2013,1,519.6
05-01-2013,3916,2013,1,587.4
06-01-2013,3776,2013,1,566.4
07-01-2013,3994,2013,1,599.1
08-01-2013,4056,2013,1,608.4
09-01-2013,3588,2013,1,538.2
10-01-2013,3741,2013,1,561.15
11-01-2013,4007,2013,1,601.05
12-01-2013,5147,2013,1,772.05
01-01-2014,3333,2014,1,499.95
02-01-2014,3261,2014,1,489.15
03-01-2014,3596,2014,1,539.4
04-01-2014,3643,2014,1,546.45
05-01-2014,4096,2014,1,614.4
06-01-2014,3966,2014,1,594.9
07-01-2014,4166,2014,1,624.9
08-01-2014,4139,2014,1,620.85
09-01-2014,3736,2014,1,560.4
10-01-2014,4003,2014,1,600.45
11-01-2014,4012,2014,1,601.8
12-01-2014,5444,2014,1,816.6
01-01-2015,3486,2015,1,522.9
02-01-2015,3397,2015,1,509.55
03-01-2015,3761,2015,1,564.15
04-01-2015,3768,2015,1,565.2
05-01-2015,4222,2015,1,633.3
06-01-2015,4104,2015,1,615.6
07-01-2015,4409,2015,1,661.35
08-01-2015,4140,2015,1,621
09-01-2015,3955,2015,1,593.25
10-01-2015,4145,2015,1,621.75
11-01-2015,4135,2015,1,620.25
12-01-2015,5634,2015,1,845.1
01-01-2016,3488,2016,1,523.2
02-01-2016,3642,2016,1,546.3
03-01-2016,3907,2016,1,586.05
04-01-2016,3966,2016,1,594.9
05-01-2016,4242,2016,1,636.3
06-01-2016,4307,2016,1,646.05
07-01-2016,4572,2016,1,685.8
08-01-2016,4307,2016,1,646.05
09-01-2016,4260,2016,1,639
10-01-2016,4261,2016,1,639.15
11-01-2016,4488,2016,1,673.2
12-01-2016,5812,2016,1,871.8
01-01-2017,3578,2017,1,536.7
02-01-2017,3606,2017,1,540.9
03-01-2017,4074,2017,1,611.1
04-01-2017,4077,2017,1,611.55
05-01-2017,4456,2017,1,668.4
06-01-2017,4482,2017,1,672.3
07-01-2017,4598,2017,1,689.7
08-01-2017,4452,2017,1,667.8
09-01-2017,4346,2017,1,651.9
10-01-2017,4343,2017,1,651.45
11-01-2017,4638,2017,1,695.7
12-01-2017,5972,2017,1,895.8
01-01-2018,3792,2018,1,568.8
02-01-2018,3792,2018,1,568.8
03-01-2018,4436,2018,1,665.4
04-01-2018,4143,2018,1,621.45
05-01-2018,4702,2018,1,705.3
06-01-2018,4740,2018,1,711
07-01-2018,4761,2018,1,714.15
08-01-2018,4697,2018,1,704.55
09-01-2018,4416,2018,1,662.4
10-01-2018,4555,2018,1,683.25
11-01-2018,4926,2018,1,738.9
12-01-2018,6128,2018,1,919.2
01-01-2019,3933,2019,1,589.95
02-01-2019,3916,2019,1,587.4
03-01-2019,4445,2019,1,666.75
04-01-2019,4358,2019,1,653.7
05-01-2019,4861,2019,1,729.15
06-01-2019,4769,2019,1,715.35
07-01-2019,4993,2019,1,748.95
08-01-2019,5017,2019,1,752.55
09-01-2019,4454,2019,1,668.1
10-01-2019,4676,2019,1,701.4
11-01-2019,5057,2019,1,758.55
12-01-2019,6326,2019,1,948.9
01-01-2020,4188,2020,1,628.2
02-01-2020,4318,2020,1,647.7
03-01-2020,5249,2020,1,787.35
04-01-2020,4938,2020,1,740.7
05-01-2020,5950,2020,1,892.5
06-01-2020,5780,2020,1,867
07-01-2020,6106,2020,1,915.9
08-01-2020,5813,2020,1,871.95
09-01-2020,5582,2020,1,837.3
10-01-2020,5766,2020,1,864.9
11-01-2020,5796,2020,1,869.4
12-01-2020,7366,2020,1,1104.9
01-01-2021,5087,2021,1,763.05
02-01-2021,4968,2021,1,745.2
03-01-2021,5727,2021,1,859.05
04-01-2021,5712,2021,1,856.8
